file_id,name_vaddr,group,filename,content_guess,start_sector,len_sectors,byte_offset,byte_length
0,0x80010dec,DATA1,DATA1\HAND.DAT,hand / cursor data,0,73,0,149504
1,0x80010dfc,DATA7,DATA7\MAR22_13.DAT,marionation animation,73,70,149504,143360
2,0x80010e10,DATA7,DATA7\MAR22_12.DAT,marionation animation,143,73,292864,149504
3,0x80010e24,DATA7,DATA7\MAR22_11.DAT,marionation animation,216,72,442368,147456
4,0x80010e38,DATA7,DATA7\MAR22_10.DAT,marionation animation,288,71,589824,145408
5,0x80010e4c,DATA7,DATA7\MAR22_09.DAT,marionation animation,359,73,735232,149504
6,0x80010e60,DATA7,DATA7\MAR22_08.DAT,marionation animation,432,72,884736,147456
7,0x80010e74,DATA7,DATA7\MAR22_07.DAT,marionation animation,504,68,1032192,139264
8,0x80010e88,DATA7,DATA7\MAR22_06.DAT,marionation animation,572,65,1171456,133120
9,0x80010e9c,DATA7,DATA7\MAR22_05.DAT,marionation animation,637,74,1304576,151552
10,0x80010eb0,DATA7,DATA7\MAR22_04.DAT,marionation animation,711,61,1456128,124928
11,0x80010ec4,DATA7,DATA7\MAR22_03.DAT,marionation animation,772,62,1581056,126976
12,0x80010ed8,DATA7,DATA7\MAR22_02.DAT,marionation animation,834,77,1708032,157696
13,0x80010eec,DATA7,DATA7\MAR22_01.DAT,marionation animation,911,59,1865728,120832
14,0x80010f00,DATA7,DATA7\MAR22_00.DAT,marionation animation,970,70,1986560,143360
15,0x80010f14,DATA7,DATA7\MAR21_34.DAT,marionation animation,1040,69,2129920,141312
16,0x80010f28,DATA7,DATA7\MAR21_33.DAT,marionation animation,1109,73,2271232,149504
17,0x80010f3c,DATA7,DATA7\MAR21_32.DAT,marionation animation,1182,73,2420736,149504
18,0x80010f50,DATA7,DATA7\MAR21_31.DAT,marionation animation,1255,73,2570240,149504
19,0x80010f64,DATA7,DATA7\MAR21_30.DAT,marionation animation,1328,74,2719744,151552
20,0x80010f78,DATA7,DATA7\MAR21_29.DAT,marionation animation,1402,71,2871296,145408
21,0x80010f8c,DATA7,DATA7\MAR21_28.DAT,marionation animation,1473,70,3016704,143360
22,0x80010fa0,DATA7,DATA7\MAR21_27.DAT,marionation animation,1543,69,3160064,141312
23,0x80010fb4,DATA7,DATA7\MAR21_26.DAT,marionation animation,1612,65,3301376,133120
24,0x80010fc8,DATA7,DATA7\MAR21_25.DAT,marionation animation,1677,68,3434496,139264
25,0x80010fdc,DATA7,DATA7\MAR21_24.DAT,marionation animation,1745,64,3573760,131072
26,0x80010ff0,DATA7,DATA7\MAR21_23.DAT,marionation animation,1809,66,3704832,135168
27,0x80011004,DATA7,DATA7\MAR21_22.DAT,marionation animation,1875,72,3840000,147456
28,0x80011018,DATA7,DATA7\MAR21_21.DAT,marionation animation,1947,68,3987456,139264
29,0x8001102c,DATA7,DATA7\MAR21_20.DAT,marionation animation,2015,77,4126720,157696
30,0x80011040,DATA7,DATA7\MAR21_19.DAT,marionation animation,2092,82,4284416,167936
31,0x80011054,DATA7,DATA7\MAR21_18.DAT,marionation animation,2174,19,4452352,38912
32,0x80011068,DATA7,DATA7\MAR21_17.DAT,marionation animation,2193,26,4491264,53248
33,0x8001107c,DATA7,DATA7\MAR21_16.DAT,marionation animation,2219,23,4544512,47104
34,0x80011090,DATA7,DATA7\MAR21_15.DAT,marionation animation,2242,25,4591616,51200
35,0x800110a4,DATA7,DATA7\MAR21_14.DAT,marionation animation,2267,36,4642816,73728
36,0x800110b8,DATA7,DATA7\MAR21_13.DAT,marionation animation,2303,76,4716544,155648
37,0x800110cc,DATA7,DATA7\MAR21_12.DAT,marionation animation,2379,131,4872192,268288
38,0x800110e0,DATA7,DATA7\MAR21_11.DAT,marionation animation,2510,132,5140480,270336
39,0x800110f4,DATA7,DATA7\MAR21_10.DAT,marionation animation,2642,53,5410816,108544
40,0x80011108,DATA7,DATA7\MAR21_09.DAT,marionation animation,2695,68,5519360,139264
41,0x8001111c,DATA7,DATA7\MAR21_08.DAT,marionation animation,2763,69,5658624,141312
42,0x80011130,DATA7,DATA7\MAR21_07.DAT,marionation animation,2832,77,5799936,157696
43,0x80011144,DATA7,DATA7\MAR21_06.DAT,marionation animation,2909,77,5957632,157696
44,0x80011158,DATA7,DATA7\MAR21_05.DAT,marionation animation,2986,68,6115328,139264
