func,file,src,line_no,verb,family,recipe,coverage,distance,status,verdict,text
func_80017FA0,code6cac,regfix.txt,38,subst,register-rename,register-alloc-pure-c,COVERED,13,parked,C,"func_80017FA0: subst ""\$3"" ""$1"" @ 8"
func_80017FA0,code6cac,regfix.txt,39,subst,register+displacement,register-alloc-pure-c,PARTIAL,13,parked,C,"func_80017FA0: subst ""0\(\$3\)"" ""0xb8($1)"" @ 10"
func_80017FA0,code6cac,regfix.txt,40,delete,delete-instruction,store-const-reload-cse,PARTIAL,13,parked,C,func_80017FA0: delete @ 9
func_80017FA0,code6cac,regfix.txt,42,subst,instruction-suppress-to-nop,dead-store-fake-exception,PARTIAL,13,parked,C,"func_80017FA0: subst ""lui.*"" ""nop"" @ 55"
func_80017FA0,code6cac,regfix.txt,43,subst,scratchpad-abs-address,scratchpad-gte,COVERED,13,parked,C,"func_80017FA0: subst ""ori.*"" ""lui $1,0x1f80"" @ 57"
func_80017FA0,code6cac,regfix.txt,44,subst,register+displacement,register-alloc-pure-c,PARTIAL,13,parked,C,"func_80017FA0: subst ""0\(\$3\)"" ""0x60($1)"" @ 58"
CD_datasync,system,regfix.txt,71,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $16 <-> $18
CD_datasync,system,regfix.txt,72,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $16 <-> $17
CD_datasync,system,regfix.txt,74,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",24\("" "",32("" @ 1"
CD_datasync,system,regfix.txt,75,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",32\("" "",28("" @ 6"
CD_datasync,system,regfix.txt,76,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",28\("" "",24("" @ 8"
CD_datasync,system,regfix.txt,78,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $2 <-> $3 @ 35-35
CD_datasync,system,regfix.txt,79,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $2 <-> $3 @ 38-39
CD_datasync,system,regfix.txt,81,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $2 <-> $4 @ 36-36
CD_datasync,system,regfix.txt,82,swap,register-swap-range,register-alloc-pure-c,COVERED,18,parked,C,CD_datasync: $2 <-> $4 @ 40-42
CD_datasync,system,regfix.txt,84,subst,register-rename,register-alloc-pure-c,COVERED,18,parked,C,"CD_datasync: subst ""0\(\$3\)"" ""0($2)"" @ 44"
CD_datasync,system,regfix.txt,86,reorder,reorder-scheduling,loop-exit-work-inside-loop-sched-fence,COVERED,18,parked,C,"CD_datasync: reorder 36,35,37,38,39,40,44,43,41,45,46,47,48,42 @ 35-48"
CD_datasync,system,regfix.txt,88,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",32\("" "",28("" @ 70"
CD_datasync,system,regfix.txt,89,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",28\("" "",24("" @ 71"
CD_datasync,system,regfix.txt,90,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,18,parked,C,"CD_datasync: subst "",24\("" "",32("" @ 72"
CD_datasync,system,regfix.txt,92,reorder,reorder-scheduling,loop-exit-work-inside-loop-sched-fence,COVERED,18,parked,C,"CD_datasync: reorder 72,70,71 @ 70-72"
func_80083794,ings2,regfix.txt,101,swap,register-swap-range,register-alloc-pure-c,COVERED,23,parked,C,func_80083794: $2 <-> $8 @ 0-7
func_80083794,ings2,regfix.txt,102,reorder,reorder-scheduling,loop-exit-work-inside-loop-sched-fence,COVERED,23,parked,C,"func_80083794: reorder 2,3,5,4 @ 2-5"
func_80083794,ings2,regfix.txt,103,subst,register+displacement,register-alloc-pure-c,PARTIAL,23,parked,C,"func_80083794: subst ""\$31,8"" ""$16,4"" @ 2"
func_80083794,ings2,regfix.txt,104,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,23,parked,C,"func_80083794: subst "",4\("" "",8("" @ 3"
func_80083794,ings2,regfix.txt,105,subst,register+displacement,register-alloc-pure-c,PARTIAL,23,parked,C,"func_80083794: subst ""\$16,0\("" ""$31,0xc("" @ 5"
func_80083794,ings2,regfix.txt,106,subst,opcode-change,proven-spelling-class-reconstruction,PARTIAL,23,parked,C,"func_80083794: subst ""addiu"" ""ori"" @ 6"
func_80083794,ings2,regfix.txt,107,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,23,parked,C,"func_80083794: subst "",8\("" "",0xc("" @ 18"
func_80083794,ings2,regfix.txt,108,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,23,parked,C,"func_80083794: subst "",4\("" "",8("" @ 19"
func_80083794,ings2,regfix.txt,109,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,23,parked,C,"func_80083794: subst "",0\("" "",4("" @ 20"
motion_Close,ings2,regfix.txt,112,swap,register-swap-range,register-alloc-pure-c,COVERED,21,parked,C,motion_Close: $2 <-> $8 @ 0-4
motion_Close,ings2,regfix.txt,113,insert,nop-scheduling-insert,maspsx-label-nop-gate,COVERED,21,parked,C,"motion_Close: insert ""nop"" @ 6"
motion_Close,ings2,regfix.txt,114,reorder,reorder-scheduling,loop-exit-work-inside-loop-sched-fence,COVERED,21,parked,C,"motion_Close: reorder 2,3,5,4 @ 2-5"
motion_Close,ings2,regfix.txt,115,subst,register+displacement,register-alloc-pure-c,PARTIAL,21,parked,C,"motion_Close: subst ""\$31,8"" ""$16,4"" @ 2"
motion_Close,ings2,regfix.txt,116,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,21,parked,C,"motion_Close: subst "",4\("" "",8("" @ 3"
motion_Close,ings2,regfix.txt,117,subst,register+displacement,register-alloc-pure-c,PARTIAL,21,parked,C,"motion_Close: subst ""\$16,0\("" ""$31,0xc("" @ 5"
motion_Close,ings2,regfix.txt,118,subst,memory-displacement,defeat-combine-symbol-fold,PARTIAL,21,parked,C,"motion_Close: subst "",8\("" "",0xc("" @ 16"
