addr,current_name,table,index,spec_name,status,libscan_name,libscan_tier,libscan_action,cross_check,file,note
0x80078948,bios_Exec,A0,0x43,DoExecute,CONFLICT,Exec,CORROBORATED,KEEP,CONCUR-ALIAS,bios_Exec.s,
0x80078958,bios__bu_init_A0,A0,0x70,_bu_init,CONFIRM,_bu_init,CORROBORATED,KEEP,CONCUR,bios__bu_init_A0.s,
0x80078968,bios_SetMem,A0,0x9F,SetMemSize,CONFLICT,SetMem,CORROBORATED,KEEP,CONCUR-ALIAS,bios_SetMem.s,
0x80078978,bios_OpenEvent,B0,0x08,OpenEvent,CONFIRM,OpenEvent,CORROBORATED,KEEP,CONCUR,bios_OpenEvent.s,
0x80078988,bios_CloseEvent,B0,0x09,CloseEvent,CONFIRM,CloseEvent,CORROBORATED,KEEP,CONCUR,bios_CloseEvent.s,
0x80078998,bios_TestEvent,B0,0x0B,TestEvent,CONFIRM,TestEvent,CORROBORATED,KEEP,CONCUR,bios_TestEvent.s,
0x800789A8,bios_EnableEvent,B0,0x0C,EnableEvent,CONFIRM,EnableEvent,CORROBORATED,KEEP,CONCUR,bios_EnableEvent.s,
0x800789E8,bios_FileOpen_B,B0,0x32,FileOpen,CONFIRM,open,CORROBORATED,KEEP,CONCUR-ALIAS,bios_FileOpen_B.s,
0x800789F8,bios_FileRead_B,B0,0x34,FileRead,CONFIRM,read,CORROBORATED,KEEP,CONCUR-ALIAS,bios_FileRead_B.s,
0x80078A08,bios_FileWrite_B,B0,0x35,FileWrite,CONFIRM,write,CORROBORATED,KEEP,CONCUR-ALIAS,bios_FileWrite_B.s,
0x80078A18,bios_FileClose_B,B0,0x36,FileClose,CONFIRM,close,CORROBORATED,KEEP,CONCUR-ALIAS,bios_FileClose_B.s,
0x80078A28,bios_FormatDevice_B,B0,0x41,FormatDevice,CONFIRM,format,CORROBORATED,KEEP,CONCUR-ALIAS,bios_FormatDevice_B.s,
0x80078A38,bios_firstfile_B,B0,0x42,firstfile,CONFIRM,firstfile,CORROBORATED,KEEP,CONCUR,bios_firstfile_B.s,
0x80078A48,bios_nextfile_B,B0,0x43,nextfile,CONFIRM,nextfile,CORROBORATED,KEEP,CONCUR,bios_nextfile_B.s,
0x80078A58,bios_ChangeClearPad,B0,0x5B,ChangeClearPad,CONFIRM,ChangeClearPAD,CORROBORATED,KEEP,CONCUR,bios_ChangeClearPad.s,
0x80078F00,bios_InitPad,B0,0x12,InitPad,CONFIRM,InitPAD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_InitPad.s,
0x80078F10,bios_StartPad,B0,0x13,StartPad,CONFIRM,StartPAD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_StartPad.s,
0x80078F20,bios_StopPad,B0,0x14,StopPad,CONFIRM,StopPAD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_StopPad.s,
0x80078F30,bios_OutdatedPadInitAndStart,B0,0x15,OutdatedPadInitAndStart,CONFIRM,PAD_init2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_OutdatedPadInitAndStart.s,
0x80078F40,bios_SysEnqIntRP,C0,0x02,SysEnqIntRP,CONFIRM,SysEnqIntRP,CORROBORATED,KEEP,CONCUR,bios_SysEnqIntRP.s,
0x80078F50,bios_SysDeqIntRP,C0,0x03,SysDeqIntRP,CONFIRM,SysDeqIntRP,CORROBORATED,KEEP,CONCUR,bios_SysDeqIntRP.s,
0x80078FF0,func_80078FF0,A0,0x44,FlushCache,RENAME,FlushCache,INFERRED,KEEP,CONCUR,func_80078FF0.s,index decode upgrades libscan tier INFERRED -> VERIFIED
0x8007A2F8,bios_A0_0xAB_wrapper,A0,0xAB,_card_info,FILL,_card_info,CORROBORATED,KEEP,CONCUR,bios_A0_0xAB_wrapper.s,
0x8007A308,bios_A0_0xAC_wrapper,A0,0xAC,_card_async_load_directory,FILL,_card_load,CORROBORATED,KEEP,CONCUR-ALIAS,bios_A0_0xAC_wrapper.s,
0x8007A350,bios__card_write,B0,0x4E,_card_write,CONFIRM,_card_write,CORROBORATED,KEEP,CONCUR,bios__card_write.s,
0x8007A360,bios__new_card,B0,0x50,_new_card,CONFIRM,_new_card,CORROBORATED,KEEP,CONCUR,bios__new_card.s,
0x8007A428,bios_InitCard,B0,0x4A,InitCard,CONFIRM,InitCARD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_InitCard.s,
0x8007A438,bios_StartCard,B0,0x4B,StartCard,CONFIRM,StartCARD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_StartCard.s,
0x8007A448,bios_StopCard,B0,0x4C,StopCard,CONFIRM,StopCARD2,CORROBORATED,KEEP,CONCUR-ALIAS,bios_StopCard.s,
0x8007DF10,bios_GPU_cw,A0,0x49,GPU_cw,CONFIRM,GPU_cw,CORROBORATED,KEEP,CONCUR,bios_GPU_cw.s,
0x8008008C,bios_DeliverEvent,B0,0x07,DeliverEvent,CONFIRM,DeliverEvent,CORROBORATED,KEEP,CONCUR,bios_DeliverEvent.s,
0x80082AB0,bios_ChangeClearRCnt,C0,0x0A,ChangeClearRCnt,CONFIRM,ChangeClearRCnt,CORROBORATED,KEEP,CONCUR,bios_ChangeClearRCnt.s,
0x800831D8,bios_CdRemove_A0,A0,0x72,CdRemove,CONFIRM,_96_remove,CORROBORATED,KEEP,CONCUR-ALIAS,bios_CdRemove_A0.s,
0x800831F0,bios_ReturnFromException,B0,0x17,ReturnFromException,CONFIRM,ReturnFromException,CORROBORATED,KEEP,CONCUR,bios_ReturnFromException.s,
0x80083200,bios_SetDefaultExitFromException,B0,0x18,SetDefaultExitFromException,CONFIRM,ResetEntryInt,CORROBORATED,KEEP,CONCUR-ALIAS,bios_SetDefaultExitFromException.s,
0x80083210,bios_SetCustomExitFromException,B0,0x19,SetCustomExitFromException,CONFIRM,HookEntryInt,CORROBORATED,KEEP,CONCUR-ALIAS,bios_SetCustomExitFromException.s,
0x8008386C,bios_InitHeap,A0,0x39,InitHeap,CONFIRM,InitHeap,CORROBORATED,KEEP,CONCUR,bios_InitHeap.s,
0x80089374,bios_DisableEvent,B0,0x0D,DisableEvent,CONFIRM,DisableEvent,CORROBORATED,KEEP,CONCUR,bios_DisableEvent.s,
0x8008AAC4,func_8008AAC4,B0,0x0A,WaitEvent,RENAME,WaitEvent,SUSPECT,RESET,CONFLICT-LIBSCAN,func_8008AAC4.s,libscan would RESET to func_*; index decode VERIFIES the name -- do not reset
0x8008D050,bios_AddDevice_B,B0,0x47,AddDevice,CONFIRM,AddDrv,CORROBORATED,KEEP,CONCUR-ALIAS,bios_AddDevice_B.s,
0x8008D060,func_8008D060,B0,0x48,RemoveDevice,RENAME,DelDrv,AUTO,KEEP,CONCUR-ALIAS,func_8008D060.s,index decode upgrades libscan tier AUTO -> VERIFIED
