address,proposed_name,confidence,evidence,technique
0x8001A67C,satan_helper_8001A67C,info,shares data with satan_* fns,data_coaccess
0x800213A0,mario_helper_800213A0,info,shares data with mario_* fns,data_coaccess
0x8002BEA0,mode_helper_8002BEA0,info,shares data with mode_* fns,data_coaccess
0x80030524,psyq_helper_80030524,info,shares data with psyq_* fns,data_coaccess
0x80030D04,psyq_helper_80030D04,info,shares data with psyq_* fns,data_coaccess
0x80030D48,stub_or_const_80030D48,info,structural: stub_or_const,structural
0x80034200,mode_helper_80034200,info,shares data with mode_* fns,data_coaccess
0x80037234,store_only_80037234,info,structural: store_only,structural
0x800392B8,stub_or_const_800392B8,info,structural: stub_or_const,structural
0x8003A2DC,bios_helper_8003A2DC,low,propagation hop2 -> bios,propagation
0x8003A308,bios_helper_8003A308,low,propagation hop2 -> bios,propagation
0x8003A42C,store_only_8003A42C,info,structural: store_only,structural
0x8003D478,dispsleepmenutex_helper_8003D478,info,shares data with dispsleepmenutex_* fns,data_coaccess
0x8003D774,set_field0x0_8003D774,info,structural: set_field0x0,structural
0x8003E2AC,tsllineg5init_helper_8003E2AC,info,shares data with tsllineg5init_* fns,data_coaccess
0x8003F1C8,disphira_helper_8003F1C8,info,shares data with disphira_* fns,data_coaccess
0x8003F1D4,stub_or_const_8003F1D4,info,structural: stub_or_const,structural
0x8003F1E4,store_only_8003F1E4,info,structural: store_only,structural
0x8003F268,disphira_helper_8003F268,info,shares data with disphira_* fns,data_coaccess
0x8003F52C,store_only_8003F52C,info,structural: store_only,structural
0x8003F54C,load_only_8003F54C,info,structural: load_only,structural
0x8003F5A8,efc_helper_8003F5A8,info,shares data with efc_* fns,data_coaccess
0x8003F5CC,efc_helper_8003F5CC,info,shares data with efc_* fns,data_coaccess
0x8004019C,copy_or_accessor_8004019C,info,structural: copy_or_accessor,structural
0x8004046C,efc_helper_8004046C,info,propagation hop3 -> efc,propagation
0x800404A0,copy_or_accessor_800404A0,info,structural: copy_or_accessor,structural
0x800420E8,store_only_800420E8,info,structural: store_only,structural
0x8004283C,store_only_8004283C,info,structural: store_only,structural
0x80042ED8,copy_or_accessor_80042ED8,info,structural: copy_or_accessor,structural
0x80043278,load_only_80043278,info,structural: load_only,structural
0x80044098,prim_helper_80044098,info,shares data with prim_* fns,data_coaccess
0x800457E8,satan_helper_800457E8,info,shares data with satan_* fns,data_coaccess
0x80047ED0,copy_or_accessor_80047ED0,info,structural: copy_or_accessor,structural
0x80048BA4,cpu_helper_80048BA4,low,propagation hop2 -> cpu,propagation
0x80049710,stub_or_const_80049710,info,structural: stub_or_const,structural
0x8004A938,stub_or_const_8004A938,info,structural: stub_or_const,structural
0x8004E564,stub_or_const_8004E564,info,structural: stub_or_const,structural
0x8004E56C,stub_or_const_8004E56C,info,structural: stub_or_const,structural
0x80053754,camera_helper_80053754,info,propagation hop3 -> camera,propagation
0x80053E9C,camera_helper_80053E9C,info,propagation hop3 -> camera,propagation
0x80055B44,set_field0x3B4_80055B44,info,structural: set_field0x3B4,structural
0x80057E84,single_game_helper_80057E84,low,propagation hop2 -> single_game,propagation
0x8006288C,motion_helper_8006288C,info,shares data with motion_* fns,data_coaccess
0x8006295C,motion_helper_8006295C,info,propagation hop3 -> motion,propagation
