address,decision,name,subsystem,evidence
0x80017A44,applied,efc_helper_80017A44,efc,<-efc_rob_ougi_control
0x8001924C,applied,ang_helper_8001924C,ang,<-ang_hosei_8003F62C
0x800194C0,applied,replay_camera_helper_800194C0,replay_camera,<-replay_camera_wait_for_playback_8003ACB8
0x800194F4,applied,replay_camera_helper_800194F4,replay_camera,<-replay_camera_wait_for_playback_8003ACB8
0x80019534,applied,sys_helper_80019534,sys,<-sys_GameInit_80016D78
0x8001A820,applied,mode_helper_8001A820,mode,<-mode_handler_01_GameFrameUpdate
0x8001B690,applied,cpu_helper_8001B690,cpu,<-cpu_calc_move_pattern_trajectory_80023F08
0x8001B6F4,applied,mode_helper_8001B6F4,mode,<-mode_handler_04_GameSetup
0x8001BAE4,applied,mode_helper_8001BAE4,mode,<-mode_handler_05_NoOp
0x8001BBD8,applied,mode_helper_8001BBD8,mode,<-mode_handler_05_NoOp
0x8001BE20,applied,mode_helper_8001BE20,mode,<-mode_handler_01_GameFrameUpdate
0x8001C444,applied,sys_helper_8001C444,sys,<-sys_GameInit_80016D78
0x8001C4C0,applied,mario_helper_8001C4C0,mario,->mario_test_move_to_inventory_800218C8;->mario_test_get_guard_power_80021974
0x8001C51C,applied,mario_helper_8001C51C,mario,->mario_test_move_to_inventory_800218C8;->mario_test_init_dialog_memory_800392C8;->mario_test_get_guard_power_80021974
0x8001C8DC,applied,mode_helper_8001C8DC,mode,<-mode_handler_01_GameFrameUpdate
0x8001E800,applied,mode_helper_8001E800,mode,<-mode_handler_01_GameFrameUpdate
0x8001F1C4,applied,mode_helper_8001F1C4,mode,<-mode_handler_05_NoOp
0x8001F888,applied,cpu_helper_8001F888,cpu,<-cpu_update_frame_timing_stats_8002006C
0x8001F938,applied,cpu_helper_8001F938,cpu,<-cpu_calc_move_pattern_trajectory_80023F08
0x800200DC,applied,cpu_helper_800200DC,cpu,<-cpu_calc_move_pattern_trajectory_80023F08
0x800206B0,applied,mario_helper_800206B0,mario,<-mario_test_initialize_match_80022580
0x80020D70,applied,sys_helper_80020D70,sys,<-sys_GameInit_80016D78
0x80021424,applied,cpu_helper_80021424,cpu,<-cpu_side_move_dir;<-cpu_calc_move_pattern_trajectory_80023F08
0x80021A3C,applied,hirahira_helper_80021A3C,hirahira,<-hirahira_w_frie2
0x80021A98,applied,cpu_helper_80021A98,cpu,<-cpu_side_move_dir;<-cpu_calc_move_pattern_trajectory_80023F08
0x80021DB0,applied,mario_helper_80021DB0,mario,<-mario_test_initialize_match_80022580
0x800224E0,applied,mario_helper_800224E0,mario,<-mario_test_initialize_match_80022580
0x8002304C,applied,cpu_helper_8002304C,cpu,<-cpu_calc_move_pattern_trajectory_80023F08
0x80023648,applied,cpu_helper_80023648,cpu,<-cpu_calc_move_pattern_trajectory_80023F08
