address,current_name,glabel,name_layer,aliases,insns,src_location,origin,tier,evidence,action,proposed_name,queued
0x800164AC,data_as_code_lb_table,func_800164AC,named_syms.txt/symbol_addrs.txt alias only,data_as_code_lb_table_800164AC,19,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=high method=APPLIED-AS-PROPOSED; data_as_code=data_as_code_lb_table_800164AC,KEEP,,
0x800164F8,breakpoint_trap_loop,func_800164F8,named_syms.txt/symbol_addrs.txt alias only,breakpoint_trap_loop_800164F8;syscall_wrapper_break_800164F8,7,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=high method=APPLIED-AS-PROPOSED; syscall_wrapper=syscall_wrapper_break_800164F8; CONTEXT: a different alias at this address is flagged MISNAMED — the displayed name may be that flag's correction: named_syms.txt:29 [on sibling alias 'syscall_wrapper_break_800164F8'] /* MISNAMED: not a syscall wrapper; loop of ~0x270F 'break 1' instrs (debug/breakpoint stub) */,KEEP,,
0x80016514,file_LoadAll,func_80016514,src/*.c definition + named_syms alias,file_LoadAll_80016514,57,src/ings.c:131,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:131,KEEP,,
0x800165F8,file_LoadSectors,func_800165F8,src/*.c definition + named_syms alias,file_LoadSectors_800165F8,51,src/ings.c:161,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:161,KEEP,,yes
0x800166C4,disp_CalcFov,func_800166C4,src/*.c definition + named_syms alias,disp_CalcFov_800166C4,41,src/code6cac.c:138,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/code6cac.c:138,KEEP,,
0x80016768,disp_SetFramebufferMode,func_80016768,src/*.c definition + named_syms alias,disp_SetFramebufferMode_80016768,17,src/code6cac_c2.c:107,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=high method=APPLIED-DIFFERENTLY; psyq_idiom=psyq_memset_80016768; body at src/code6cac_c2.c:107,KEEP,,
0x800167AC,file_GetFlag0,func_800167AC,src/*.c definition + named_syms alias,file_GetFlag0_800167AC,4,src/ings.c:215,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:215,KEEP,,
0x800167BC,file_GetFlag1,func_800167BC,src/*.c definition + named_syms alias,file_GetFlag1_800167BC,6,src/ings.c:219,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:219,KEEP,,
0x800167D4,file_GetFlag2,func_800167D4,src/*.c definition + named_syms alias,file_GetFlag2_800167D4,6,src/code6cac.c:63,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/code6cac.c:63,KEEP,,
0x800167EC,kgm_clamp_patch_init,kgm_clamp_patch_init,glabel,coli_CheckRobEnemy,31,src/ings.c:227,kengo-derived,SUSPECT,kengo_matches.csv: kengo_name=kgm_clamp_patch_init confidence=name-unique insn_diff=3 combined_score=0.00; body at src/ings.c:227,RESET,,
0x80016868,katinuki_game_get_katinuki_max_num_80016868,katinuki_game_get_katinuki_max_num_80016868,glabel,gpu_EnableDisplay_80016868;katinuki_game_get_katinuki_max_num_80016868,8,,misname-flag,SUSPECT,RECORDED CONTRADICTION: named_syms.txt:271 /* MISNAMED: actually gpu_EnableDisplay (already in undefined_syms_auto.txt at this addr) */,RESET,,
0x80016888,gpu_InitDisplay,func_80016888,src/*.c definition + named_syms alias,gpu_InitDisplay_80016888,18,src/code6cac_c2.c:168,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/code6cac_c2.c:168",KEEP,,
0x800168D0,katinuki_game_get_katinuki_max_num_800168D0,katinuki_game_get_katinuki_max_num_800168D0,glabel,gpu_DisableDisplay_800168D0;katinuki_game_get_katinuki_max_num_800168D0,8,,misname-flag,SUSPECT,RECORDED CONTRADICTION: named_syms.txt:272 /* MISNAMED: actually gpu_DisableDisplay (already in undefined_syms_auto.txt at this addr) */,RESET,,
0x800168F0,sys_StubEmpty,func_800168F0,src/*.c definition + named_syms alias,sys_StubEmpty_800168F0,2,src/ings.c:261,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/ings.c:261",KEEP,,
0x800168F8,sys_InitSound,func_800168F8,src/*.c definition + named_syms alias,sys_InitSound_800168F8,8,src/ings.c:264,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/ings.c:264",KEEP,,
0x80016918,disp_Init,func_80016918,src/*.c definition + named_syms alias,disp_Init_80016918,64,src/ings.c:274,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/ings.c:274,KEEP,,
0x80016A18,sys_Init,func_80016A18,src/*.c definition + named_syms alias,sys_Init_80016A18,29,src/code6cac.c:99,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/code6cac.c:99",KEEP,,
0x80016A8C,cpu_init_replay_mode,func_80016A8C,named_syms.txt/symbol_addrs.txt alias only,cpu_init_replay_mode_80016A8C,108,,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=medium method=APPLIED-DIFFERENTLY; sole_caller_path=cpu_set_move_command_and_dir_for_no_action_2_helper_80016A8C,KEEP,,
0x80016C3C,sys_Panic,func_80016C3C,src/*.c definition + named_syms alias,sys_Panic_80016C3C,14,src/code6cac.c:70,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=low method=APPLIED-DIFFERENTLY; string_adjacent=overflow_func_80016C3C; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/code6cac.c:70",KEEP,,
0x80016C74,file_ResetDmaFlag,func_80016C74,src/*.c definition + named_syms alias,file_ResetDmaFlag_80016C74,3,src/code6cac.c:51,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/code6cac.c:51,KEEP,,
0x80016C80,file_LoadOverlay,func_80016C80,src/*.c definition + named_syms alias,file_LoadOverlay_80016C80,30,src/code6cac.c:89,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=low method=APPLIED-DIFFERENTLY; string_adjacent=eff_init_func_80016C80; body at src/code6cac.c:89,KEEP,,
0x80016CF8,file_LoadSoundData,func_80016CF8,src/*.c definition + named_syms alias,file_LoadSoundData_80016CF8,32,src/code6cac.c:100,naming-analyzer(proposals_resolved),INFERRED,docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; body at src/code6cac.c:100,KEEP,,
0x80016D78,sys_GameInit,func_80016D78,src/*.c definition + named_syms alias,sys_GameInit_80016D78,50,src/ings.c:412,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; string_adjacent_info=?; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/ings.c:412",KEEP,,
0x80016E40,gpu_SetDrawMode,func_80016E40,src/*.c definition + named_syms alias,gpu_SetDrawMode_80016E40,8,src/ings.c:437,naming-analyzer(proposals_resolved),INFERRED,"docs/naming/proposals_resolved.csv: confidence=none method=NO-PROPOSAL-NOW-NAMED; ; NOTE: name wears a PsyQ-style family prefix but its recorded origin is the naming analyzer, NOT an SDK signature match — the prefix asserts more than the evidence; body at src/ings.c:437",KEEP,,
