addr,current_name,aliases,proposed_name,all_sony_names,module,lib,mod_start,evidence,classification,in_main_block,queued,census_action,census_tier,census_name,name_source,note
0x800469A0,func_800469A0,snd_PlaySe_800469A0,,_SpuCallback,S_CB,LIBSPU,0x800469A0,libscan-verbatim,REJECTED_UNREACHABLE,False,,KEEP,INFERRED,snd_PlaySe,asm/funcs glabel,"DEMOTED 2026-08-07 (ambiguous_resolutions.md; reproduced mechanically by manifest.py filter 1): island placement with zero j/jal callers and zero word-sized data refs — not a linked module. Wrong on the merits too: S_CB's single external ref is InterruptCallback, but the placed code calls func_80045510 (game text, arg 9). The fe40a52b wave applied _SpuCallback here; the addendum RESETs it back to func_800469A0"
0x80046B20,func_80046B20,snd_StopSystemSe_80046B20,,GsClearVcount;GsGetVcount,GS_008,LIBGS,0x80046B20,libscan-verbatim,REJECTED_UNREACHABLE,False,,KEEP,INFERRED,snd_StopSystemSe,asm/funcs glabel,"REJECT BOTH candidates 2026-08-07 (ambiguous_resolutions.md; reproduced mechanically by manifest.py filter 1): zero j/jal callers and zero word-sized data refs anywhere in the image — a 9-word member defining only GsGetVcount cannot be pulled into a link by nothing; LIBGS is not linked at all (its 7 'placements' are all 4-9-word stubs with 8-23 candidate addresses). This is BB2's own dead one-liner x(){return GetRCnt(RCntCNT1);}, byte-identical to Sony's because it is the same one-liner. Keep snd_StopSystemSe (src/sound.c:238)"
0x80078948,bios_Exec,,Exec,Exec,C67,LIBAPI,0x80078948,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_Exec,asm/funcs glabel,
0x80078958,bios__bu_init_A0,,_bu_init,_bu_init,C112,LIBAPI,0x80078958,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios__bu_init_A0,asm/funcs glabel,
0x80078968,bios_SetMem,,SetMem,SetMem,C159,LIBAPI,0x80078968,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_SetMem,asm/funcs glabel,
0x80078978,bios_OpenEvent,,OpenEvent,OpenEvent,A08,LIBAPI,0x80078978,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_OpenEvent,asm/funcs glabel,
0x80078988,bios_CloseEvent,,CloseEvent,CloseEvent,A09,LIBAPI,0x80078988,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_CloseEvent,asm/funcs glabel,
0x80078998,bios_TestEvent,,TestEvent,TestEvent,A11,LIBAPI,0x80078998,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_TestEvent,asm/funcs glabel,
0x800789A8,bios_EnableEvent,,EnableEvent,EnableEvent,A12,LIBAPI,0x800789A8,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_EnableEvent,asm/funcs glabel,
0x800789B8,EnterCriticalSection,,EnterCriticalSection,EnterCriticalSection,A36,LIBAPI,0x800789B8,libscan-verbatim,CONFIRM,True,,KEEP,VERIFIED,EnterCriticalSection,asm/funcs glabel,
0x800789C8,ExitCriticalSection,,ExitCriticalSection,ExitCriticalSection,A37,LIBAPI,0x800789C8,libscan-verbatim,CONFIRM,True,,KEEP,VERIFIED,ExitCriticalSection,asm/funcs glabel,
0x800789D8,func_800789D8,cpu_set_or_clear_move_flag_800789D8,SetSp,SetSp,A39,LIBAPI,0x800789D8,libscan-verbatim,CONTRADICTED_ALIAS,True,,KEEP,INFERRED,cpu_set_or_clear_move_flag,asm/funcs glabel,contradicting live alias(es): cpu_set_or_clear_move_flag_800789D8
0x800789E8,bios_FileOpen_B,,open,open,A50,LIBAPI,0x800789E8,libscan-verbatim,CONTRADICTED,True,,KEEP,CORROBORATED,bios_FileOpen_B,asm/funcs glabel,
