# MOVOVL.EXE PsyQ library symbol map (verbatim-matched modules)
# vaddr           lib/module            symbol(s)
0x801DA094 LIBC2/PRINTF           printf
0x801DA0D0 LIBC2/PRNT             prnt
0x801DA758 LIBC2/CTYPE            toupper
0x801DA788 LIBC2/CTYPE            tolower
0x801DA7B8 LIBC2/MEMCHR           memchr
0x801DA808 LIBC2/PUTCHAR          putchar
0x801DA8BC LIBAPI/A53             write
0x801DA8CC LIBC2/STRLEN           strlen
0x801DA8FC LIBPRESS/LIBPRESS      DecDCTReset
0x801DA934 LIBPRESS/LIBPRESS      DecDCTGetEnv
0x801DA9C0 LIBPRESS/LIBPRESS      DecDCTPutEnv
0x801DAA5C LIBPRESS/LIBPRESS      DecDCTBufSize
0x801DAA68 LIBPRESS/LIBPRESS      DecDCTin
0x801DAAE4 LIBPRESS/LIBPRESS      DecDCTout
0x801DAB04 LIBPRESS/LIBPRESS      DecDCTinSync
0x801DAB40 LIBPRESS/LIBPRESS      DecDCToutSync
0x801DAB7C LIBPRESS/LIBPRESS      DecDCTinCallback
0x801DABA0 LIBPRESS/LIBPRESS      DecDCToutCallback
0x801DABC4 LIBPRESS/LIBPRESS      MDEC_reset (static)
0x801DACC0 LIBPRESS/LIBPRESS      MDEC_in (static)
0x801DAD54 LIBPRESS/LIBPRESS      MDEC_out (static)
0x801DADE4 LIBPRESS/LIBPRESS      MDEC_in_sync (static)
0x801DAE7C LIBPRESS/LIBPRESS      MDEC_out_sync (static)
0x801DAF14 LIBPRESS/LIBPRESS      MDEC_status (static)
0x801DAF2C LIBPRESS/LIBPRESS      timeout (static)
0x801DB060 LIBPRESS/VLC           DecDCTvlcSize
0x801DB090 LIBPRESS/VLC           DecDCTvlc
0x801DB3F4 LIBGPU/EXT             LoadTPage
0x801DB4E0 LIBGPU/EXT             LoadClut
0x801DB548 LIBGPU/EXT             LoadClut2
0x801DB5B0 LIBGPU/EXT             SetDefDrawEnv
0x801DB668 LIBGPU/EXT             SetDefDispEnv
0x801DB6A4 LIBGPU/PRIM            GetTPage
0x801DB6E0 LIBGPU/PRIM            GetClut
0x801DB6F8 LIBGPU/PRIM            DumpTPage
0x801DB758 LIBGPU/PRIM            DumpClut
0x801DB798 LIBGPU/PRIM            NextPrim
0x801DB7B4 LIBGPU/PRIM            IsEndPrim
0x801DB7D0 LIBGPU/PRIM            AddPrim
0x801DB80C LIBGPU/PRIM            AddPrims
0x801DB848 LIBGPU/PRIM            CatPrim
0x801DB86C LIBGPU/PRIM            TermPrim
0x801DB884 LIBGPU/PRIM            SetSemiTrans
0x801DB8AC LIBGPU/PRIM            SetShadeTex
0x801DB8D4 LIBGPU/PRIM            SetPolyF3
0x801DB8E8 LIBGPU/PRIM            SetPolyFT3
0x801DB8FC LIBGPU/PRIM            SetPolyG3
