address,current_name,proposed_name,confidence,subsystem,votes,signal,size,evidence,named_callers,named_callees
0x80032854,func_80032854,anim_helper_80032854,medium,anim,6,strict_caller,255,"calls 3 anim_* fn(s): anim_emit_210009_with_setup_80061250,anim_emit_21000CD_80061658,anim_emit_29000B",calc_loc_mat_fw;calc_loc_mat_fw_helper_8002A458;calc_teasi_loc_fw;cpu_ai_pick_move_for_situation_80030D7C;cpu_calc_move_pattern_trajectory_80023F08;cpu_check_special_move_input_80032C50;cpu_check_tubazeri_2;cpu_side_move_dir;mk_g2l;mode_handler_05_NoOp;saTan2KabutoWareMove;saTan3MainJump;single_game_CheckStatusUpDataTotalOver;single_game_SetAbilityData,anim_emit_210009_with_setup_80061250;anim_emit_21000CD_80061658;anim_emit_29000B_80061454
0x80060CB8,func_80060CB8,bb2_helper_80060CB8,medium,bb2,4,callee_cluster,83,"calls 2 bb2_* fn(s): bb2_rand,bb2_srand_80079184",file_LoadOverlay_80016C80,bb2_rand;bb2_srand_80079184;game_FrameLoop;gpu_DrawSync;gpu_LoadImage;replay_camera_Init_80036D98;saTan1GaugeInit
0x8008C464,func_8008C464,bios_helper_8008C464,medium,bios,6,strict_caller,763,"calls 3 bios_* fn(s): bios_DeliverEvent,bios_SysDeqIntRP,bios_SysEnqIntRP",pad_ClearAppliBuffer,EnterCriticalSection;ExitCriticalSection;SetPacketData;bios_DeliverEvent;bios_SysDeqIntRP;bios_SysEnqIntRP;cpu_side_move_dir_3
0x8003A174,func_8003A174,bios_helper_8003A174,medium,bios,4,callee_cluster,60,"calls 2 bios_* fn(s): bios_FileOpen_B,bios_OpenEvent",replay_camera_wait_for_playback_8003ACB8,EnterCriticalSection;ExitCriticalSection;bios_FileOpen_B;bios_OpenEvent;sys_VSync
0x8003A264,func_8003A264,bios_helper_8003A264,medium,bios,4,callee_cluster,30,"calls 2 bios_* fn(s): bios_CloseEvent,bios_FileClose_B",,EnterCriticalSection;ExitCriticalSection;bios_CloseEvent;bios_FileClose_B;sys_VSync
0x80082A14,func_80082A14,bios_helper_80082A14,medium,bios,4,strict_caller,39,"calls 2 bios_* fn(s): bios_ChangeClearPad,bios_ChangeClearRCnt",sys_VSync,bios_ChangeClearPad;bios_ChangeClearRCnt;tslTm2LoadImage_2
0x800886C4,func_800886C4,bios_helper_800886C4,medium,bios,4,callee_cluster,31,"calls 2 bios_* fn(s): bios_EnableEvent,bios_OpenEvent",,EnterCriticalSection;ExitCriticalSection;bios_EnableEvent;bios_OpenEvent
0x800892F8,func_800892F8,bios_helper_800892F8,medium,bios,4,callee_cluster,31,"calls 2 bios_* fn(s): bios_CloseEvent,bios_DisableEvent",spu_Reset_80083B30,EnterCriticalSection;ExitCriticalSection;bios_CloseEvent;bios_DisableEvent
0x8002C0DC,func_8002C0DC,calc_helper_8002C0DC,medium,calc,4,callee_cluster,84,"calls 2 calc_* fn(s): calc_AngleDelta_8001F860,calc_loc_mat_fw",cpu_exec_main_game_loop_frame_8002C61C,calc_AngleDelta_8001F860;calc_loc_mat_fw;single_game_getEnemyCharId
0x80031B24,func_80031B24,calc_helper_80031B24,medium,calc,4,callee_cluster,327,"calls 2 calc_* fn(s): calc_NormVector_800274BC,calc_teasi_loc_fw",cpu_exec_main_game_loop_frame_8002C61C,calc_NormVector_800274BC;calc_teasi_loc_fw;motion_dispatch_event_handler_80032854;saSeInit;saTan2LinePrimInit;single_game_getEnemyCharId
0x8001EFA0,func_8001EFA0,cpu_helper_8001EFA0,medium,cpu,16,callee_cluster,137,"calls 8 cpu_* fn(s): cpu_advance_move_counter_800397A0,cpu_ai_pick_move_for_situation_80030D7C,cpu_ca",,LWCard_SetAccessData;cpu_advance_move_counter_800397A0;cpu_ai_pick_move_for_situation_80030D7C;cpu_calc_move_pattern_trajectory_80023F08;cpu_clear_move_buffers_80039320;cpu_exec_main_game_loop_frame_8002C61C;cpu_init_game_objects_8001DA2C;cpu_init_stage_and_camera_setup_8001E404;cpu_update_frame_timing_stats_8002006C;mk_leaf_newpos;mottest_disp;myRobGeneiDraw2;suLeagueSystemInit
0x8001E878,func_8001E878,cpu_helper_8001E878,medium,cpu,14,callee_cluster,99,"calls 7 cpu_* fn(s): cpu_advance_move_counter_800397A0,cpu_ai_pick_move_for_situation_80030D7C,cpu_ca",,camera_set_target_zoom;cpu_advance_move_counter_800397A0;cpu_ai_pick_move_for_situation_80030D7C;cpu_calc_move_pattern_trajectory_80023F08;cpu_clear_move_buffers_80039320;cpu_exec_main_game_loop_frame_8002C61C;cpu_init_stage_and_camera_setup_8001E404;cpu_update_frame_timing_stats_8002006C;mk_leaf_newpos;myRobGeneiDraw2;myRobGeneiMove
0x80023F08,func_80023F08,efc_helper_80023F08,medium,efc,4,strict_caller,2983,"calls 2 efc_* fn(s): efc_anim_vehicle_setup_80049718,efc_rob_Init",cpu_get_move_pattern_table_number;mode_handler_01_GameFrameUpdate;mode_handler_17_GameContinueFrame,calc_AngleDelta_8001F860;camera_set_zoom;coli_check_circle_hit_line;cpu_check_tubazeri_2;efc_anim_vehicle_setup_80049718;efc_rob_Init;hirahira_w_ctrl;md_game_rob_data_init;motion_dispatch_event_handler_80032854;single_game_SetAbilityData;single_game_getEnemyCharId
0x8003993C,func_8003993C,efc_helper_8003993C,medium,efc,4,callee_cluster,526,"calls 2 efc_* fn(s): efc_anim_vehicle_setup_80049718,efc_rob_Init",,cpu_init_game_objects_8001DA2C;efc_anim_vehicle_setup_80049718;efc_rob_Init;hirahira_w_ctrl;md_game_restart_init;md_menu_logo_exec;mk_leaf_newpos;motion_dispatch_event_handler_80032854;suDispMentalBar
0x800417D0,func_800417D0,efc_helper_800417D0,medium,efc,4,strict_caller,64,calls 1 efc_* fn(s): efc_effect_dispatch_child_recursive_800417D0,efc_effect_dispatch_child_recursive_800417D0;efc_rob_set_type_flash;motion_CheckSituation,efc_effect_dispatch_child_recursive_800417D0
0x8005490C,func_8005490C,efc_helper_8005490C,medium,efc,4,callee_cluster,407,"calls 2 efc_* fn(s): efc_anim_vehicle_setup_80049718,efc_rob_Init",md_game_frame_setup_80054F68,FadeOut_8003FFC4;calc_fc_frame_8007EC5C;efc_anim_vehicle_setup_80049718;efc_rob_Init;stage_InitCollision
0x800676C8,func_800676C8,efc_helper_800676C8,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x80067704,func_80067704,efc_helper_80067704,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x80067740,func_80067740,efc_helper_80067740,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x8006777C,func_8006777C,efc_helper_8006777C,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x800677B8,func_800677B8,efc_helper_800677B8,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x800677F4,func_800677F4,efc_helper_800677F4,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x80067830,func_80067830,efc_helper_80067830,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x8006786C,func_8006786C,efc_helper_8006786C,medium,efc,4,callee_cluster,15,"calls 2 efc_* fn(s): efc_init_phase1_setup_buffer_800678A8,efc_init_phase2_randomize_80067D14",,efc_init_phase1_setup_buffer_800678A8;efc_init_phase2_randomize_80067D14
0x800397D4,func_800397D4,gnd_helper_800397D4,medium,gnd,4,callee_cluster,30,"calls 2 gnd_* fn(s): gnd_init_80041688,gnd_open",,game_Cleanup;gnd_init_80041688;gnd_open;tslDmaDrawListDelAll
0x80043454,func_80043454,gnd_helper_80043454,medium,gnd,4,strict_caller,479,"calls 2 gnd_* fn(s): gnd_set_fog,gnd_set_fog2",efc_video_decode_setup_800433E4;videoDecCreate,InitFadePanel;gnd_set_fog;gnd_set_fog2;tslDrTex1Init3;tslDrTex1Init4
