address,current_name,proposed_name,confidence,evidence_summary,evidence_detail_file,resolution_category,applied_name
0x800164AC,func_800164AC,data_as_code_lb_table_800164AC,high,data_as_code=data_as_code_lb_table_800164AC,docs/naming/evidence/func_800164AC.md,APPLIED-AS-PROPOSED,data_as_code_lb_table_800164AC
0x800164F8,func_800164F8,syscall_wrapper_break_800164F8,high,syscall_wrapper=syscall_wrapper_break_800164F8,docs/naming/evidence/func_800164F8.md,APPLIED-AS-PROPOSED,syscall_wrapper_break_800164F8
0x8001945C,func_8001945C,kgm_clamp_patch_init_helper_8001945C,medium,sole_caller_path=kgm_clamp_patch_init_helper_8001945C,docs/naming/evidence/func_8001945C.md,APPLIED-AS-PROPOSED,kgm_clamp_patch_init_helper_8001945C
0x8002A458,func_8002A458,calc_loc_mat_fw_helper_8002A458,medium,gte_op=gte_helper_8002A458; sole_caller_path=calc_loc_mat_fw_helper_8002A458,docs/naming/evidence/func_8002A458.md,APPLIED-AS-PROPOSED,calc_loc_mat_fw_helper_8002A458
0x8002CA8C,func_8002CA8C,calc_loc_mat_fw_helper_8002CA8C,medium,sole_caller_path=calc_loc_mat_fw_helper_8002CA8C,docs/naming/evidence/func_8002CA8C.md,APPLIED-AS-PROPOSED,calc_loc_mat_fw_helper_8002CA8C
0x8003043C,func_8003043C,psyq_memset_8003043C,high,psyq_idiom=psyq_memset_8003043C; sole_caller_path=mario_test_Exec_helper_8003043C,docs/naming/evidence/func_8003043C.md,APPLIED-AS-PROPOSED,psyq_memset_8003043C
0x800343F0,func_800343F0,DispSamnailWindow_helper_800343F0,medium,sole_caller_path=DispSamnailWindow_helper_800343F0,docs/naming/evidence/func_800343F0.md,APPLIED-AS-PROPOSED,DispSamnailWindow_helper_800343F0
0x80038148,func_80038148,psyq_memset_80038148,high,psyq_idiom=psyq_memset_80038148; sole_caller_path=pad_FuncAnalog_helper_80038148,docs/naming/evidence/func_80038148.md,APPLIED-AS-PROPOSED,psyq_memset_80038148
0x8003B20C,func_8003B20C,DispSamnailWindow_helper_8003B20C,medium,sole_caller_path=DispSamnailWindow_helper_8003B20C,docs/naming/evidence/func_8003B20C.md,APPLIED-AS-PROPOSED,DispSamnailWindow_helper_8003B20C
0x8003B2C8,func_8003B2C8,suDispMentalBar_helper_8003B2C8,medium,kengo_pattern=coli_cancel_hit_pause_katana_8003B2C8; sole_caller_path=suDispMentalBar_helper_8003B2C8,docs/naming/evidence/func_8003B2C8.md,APPLIED-AS-PROPOSED,suDispMentalBar_helper_8003B2C8
0x8003B3A4,func_8003B3A4,suDispMentalBar_helper_8003B3A4,medium,sole_caller_path=suDispMentalBar_helper_8003B3A4,docs/naming/evidence/func_8003B3A4.md,APPLIED-AS-PROPOSED,suDispMentalBar_helper_8003B3A4
0x8003B4DC,func_8003B4DC,suDispMentalBar_helper_8003B4DC,medium,kengo_pattern=coli_cancel_hit_pause_katana_8003B4DC; sole_caller_path=suDispMentalBar_helper_8003B4DC,docs/naming/evidence/func_8003B4DC.md,APPLIED-AS-PROPOSED,suDispMentalBar_helper_8003B4DC
0x8003DBE4,func_8003DBE4,tslLineG5Init_helper_8003DBE4,medium,sole_caller_path=tslLineG5Init_helper_8003DBE4,docs/naming/evidence/func_8003DBE4.md,APPLIED-AS-PROPOSED,tslLineG5Init_helper_8003DBE4
0x8003FA24,func_8003FA24,tslPrintScreen_helper_8003FA24,medium,sole_caller_path=tslPrintScreen_helper_8003FA24; string_adjacent_info=?,docs/naming/evidence/func_8003FA24.md,APPLIED-AS-PROPOSED,tslPrintScreen_helper_8003FA24
0x8003FECC,func_8003FECC,tslPrintScreen_helper_8003FECC,medium,sole_caller_path=tslPrintScreen_helper_8003FECC,docs/naming/evidence/func_8003FECC.md,APPLIED-AS-PROPOSED,tslPrintScreen_helper_8003FECC
0x80041988,func_80041988,AllocRobRmd_helper_80041988,medium,sole_caller_path=AllocRobRmd_helper_80041988,docs/naming/evidence/func_80041988.md,APPLIED-AS-PROPOSED,AllocRobRmd_helper_80041988
0x80043398,func_80043398,AllocRobRmd_helper_80043398,medium,sole_caller_path=AllocRobRmd_helper_80043398,docs/naming/evidence/func_80043398.md,APPLIED-AS-PROPOSED,AllocRobRmd_helper_80043398
0x80049C24,func_80049C24,efc_rob_set_type_particle_helper_80049C24,medium,sole_caller_path=efc_rob_set_type_particle_helper_80049C24,docs/naming/evidence/func_80049C24.md,APPLIED-AS-PROPOSED,efc_rob_set_type_particle_helper_80049C24
0x800523E0,func_800523E0,hirahira_w_ctrl_helper_800523E0,medium,gte_op=gte_helper_800523E0; sole_caller_path=hirahira_w_ctrl_helper_800523E0,docs/naming/evidence/func_800523E0.md,APPLIED-AS-PROPOSED,hirahira_w_ctrl_helper_800523E0
0x80054440,func_80054440,gte_nct_wrapper_80054440,medium,gte_op=gte_nct_wrapper_80054440; address_neighborhood=g_local_80054440,docs/naming/evidence/func_80054440.md,APPLIED-AS-PROPOSED,gte_nct_wrapper_80054440
0x8005509C,func_8005509C,psyq_memset_8005509C,high,psyq_idiom=psyq_memset_8005509C,docs/naming/evidence/func_8005509C.md,APPLIED-AS-PROPOSED,psyq_memset_8005509C
0x80060758,func_80060758,replay_camera_check_stage_80060758,high,kengo_pattern=replay_camera_check_stage_80060758; sole_caller_path=SetCurrentCursor_helper_80060758,docs/naming/evidence/func_80060758.md,APPLIED-AS-PROPOSED,replay_camera_check_stage_80060758
0x800620B8,func_800620B8,DispHira_helper_800620B8,medium,sole_caller_path=DispHira_helper_800620B8,docs/naming/evidence/func_800620B8.md,APPLIED-AS-PROPOSED,DispHira_helper_800620B8
0x80079244,func_80079244,debug_printf_helper_80079244,medium,sole_caller_path=debug_printf_helper_80079244; address_neighborhood=bb2_local_80079244; string_adjacent_info=?,docs/naming/evidence/func_80079244.md,APPLIED-AS-PROPOSED,debug_printf_helper_80079244
0x800800CC,func_800800CC,saEft00Add_helper_800800CC,medium,sole_caller_path=saEft00Add_helper_800800CC,docs/naming/evidence/func_800800CC.md,APPLIED-AS-PROPOSED,saEft00Add_helper_800800CC
0x80083698,func_80083698,syscall_wrapper_break_80083698,high,syscall_wrapper=syscall_wrapper_break_80083698,docs/naming/evidence/func_80083698.md,APPLIED-AS-PROPOSED,syscall_wrapper_break_80083698
0x800841E0,func_800841E0,DispStuff_helper_800841E0,medium,sole_caller_path=DispStuff_helper_800841E0,docs/naming/evidence/func_800841E0.md,APPLIED-AS-PROPOSED,DispStuff_helper_800841E0
0x80084500,func_80084500,DispStuff_helper_80084500,medium,sole_caller_path=DispStuff_helper_80084500,docs/naming/evidence/func_80084500.md,APPLIED-AS-PROPOSED,DispStuff_helper_80084500
0x800856B0,func_800856B0,DispStuff_helper_800856B0,medium,sole_caller_path=DispStuff_helper_800856B0,docs/naming/evidence/func_800856B0.md,APPLIED-AS-PROPOSED,DispStuff_helper_800856B0
0x80086CF8,func_80086CF8,AllocBukiRmd_helper_80086CF8,medium,sole_caller_path=AllocBukiRmd_helper_80086CF8,docs/naming/evidence/func_80086CF8.md,APPLIED-AS-PROPOSED,AllocBukiRmd_helper_80086CF8
0x800872A4,func_800872A4,AllocBukiRmd_helper_800872A4,medium,sole_caller_path=AllocBukiRmd_helper_800872A4,docs/naming/evidence/func_800872A4.md,APPLIED-AS-PROPOSED,AllocBukiRmd_helper_800872A4
