bb2_func,bb2_file,bb2_insns,kengo_name,kengo_insns,diff,kengo_module,kengo_source_file,confidence,n_candidates,callee_overlap,caller_overlap,combined_score
AddTbpOfst,main.c,49,AddTbpOfst,49,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.00,0.33,0.13
AllocBukiRmd,main.c,259,AllocBukiRmd,259,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.13,0.00,0.08
AllocRobRmd,text1a.c,217,AllocRobRmd,220,3,am_rmd,src/amami/am_rmd.c,name-unique,1,0.19,0.00,0.12
DispHira,code6cac_c2.c,299,DispHira,299,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.11,0.00,0.07
DispPracticeMenuTex_A,code6cac.c,231,cpu_check_ougi_attack,229,-2,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,14,0.00,0.00,0.00
DispPracticeMenuTex_B,code6cac.c,231,cpu_check_ougi_attack,229,-2,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,14,0.00,0.00,0.00
DispPracticeMenuTex_C,code6cac_b.c,231,cpu_check_ougi_attack,229,-2,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,14,0.00,0.00,0.00
DispSamnailWindow,code6cac_b.c,149,coli_hit_body_weapon,148,-1,is_coli,src/ishito/is_coli.c,size-only-ambiguous,23,0.00,0.00,0.00
DispSchoolBG,code6cac.c,188,cpu_check_guard,187,-1,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,14,0.00,0.00,0.00
DispSleepMenuTex,code6cac.c,146,conv_matrix_rotation,145,-1,common,src/common/common.c,size-only-ambiguous,14,0.00,0.00,0.00
DispStuff,main.c,209,exec_game,194,-15,md_game,src/common/md_game.c,size-only-ambiguous,11,0.03,0.00,0.02
DispUpdateStatusMessage,main.c,206,coli_MakeKatanaVec,207,1,is_coli,src/ishito/is_coli.c,size-only-ambiguous,11,0.00,0.00,0.00
EnterCriticalSection,code6cac.c,4,motion_shift_check_m_attack_dist,4,0,is_motion,src/ishito/is_motion.c,size-only-ambiguous,3,0.00,0.00,0.00
ExitCriticalSection,code6cac_c.c,4,motion_shift_check_m_attack_dist,4,0,is_motion,src/ishito/is_motion.c,size-only-ambiguous,2,0.00,0.00,0.00
Pad_Prs,code6cac_b.c,111,Pad_Prs,111,0,is_pad,src/ishito/is_pad.c,name-unique,1,0.00,0.00,0.00
PutRobShadow,code6cac_b.c,252,PutRobShadow,252,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.00,0.00,0.00
PutShadowRmd,text1a.c,78,PutShadowRmd,78,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.00,0.00,0.00
SetBloodSpot,main.c,91,SetBloodSpot,91,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.00,0.00,0.00
SetCurrentCursor,code6cac_c2.c,104,md_game_check_change_main_mode_katinuki,103,-1,md_game,src/common/md_game.c,size-only-ambiguous,19,0.00,0.00,0.00
SetPacketData,main.c,159,SetPacketData,159,0,am_rmd,src/amami/am_rmd.c,name-unique,1,0.00,0.00,0.00
_SelectSection,text1a_c.c,133,_SelectSection,133,0,su_menu_stage,src/suzuki/su_menu_stage.c,name-unique,1,0.00,0.00,0.00
action_CheckHitZangeki,main.c,271,action_CheckHitZangeki,271,0,is_action,src/ishito/is_action.c,name-unique,1,0.00,0.00,0.00
ang_hosei,ings.c,51,ang_hosei,47,-4,common,src/common/common.c,name-unique,1,0.00,0.00,0.00
bb2_memcpy,code6cac.c,13,single_game_LoadKeikoVoiceNum,13,0,nm_single_game,src/numata/nm_single_game.c,caller-unique,1,0.00,0.17,0.07
calc_fc_frame,text1a_c.c,72,calc_fc_frame,72,0,se_fc,src/sekikawa/se_fc.c,name-unique,1,0.00,0.00,0.00
calc_loc_mat_fw,code6cac_b.c,1112,calc_loc_mat_fw,1074,-38,se_fc,src/sekikawa/se_fc.c,name-unique,1,0.06,0.00,0.04
camera_set_target_zoom,code6cac.c,588,camera_set_target_zoom,593,5,nm_camera,src/numata/nm_camera.c,name-unique,1,0.00,0.00,0.00
camera_set_zoom,code6cac.c,219,camera_set_zoom,219,0,nm_camera,src/numata/nm_camera.c,name-unique,1,0.07,0.00,0.04
coli_HitPauseKatana,main.c,178,coli_HitPauseKatana,178,0,is_coli,src/ishito/is_coli.c,name-unique,1,0.00,0.00,0.00
coli_HitPauseKatana_2,main.c,178,coli_HitPauseKatana,178,0,is_coli,src/ishito/is_coli.c,size-only-ambiguous,15,0.00,0.00,0.00
coli_check_circle_hit_line,code6cac_b.c,92,coli_check_circle_hit_line,92,0,is_coli,src/ishito/is_coli.c,name-unique,1,0.00,0.00,0.00
coli_hit_body_weapon,code6cac_b.c,148,coli_hit_body_weapon,148,0,is_coli,src/ishito/is_coli.c,name-unique,1,0.00,0.00,0.00
conv_matrix_rotation,ings2.c,159,conv_matrix_rotation,145,-14,common,src/common/common.c,name-unique,1,0.00,0.00,0.00
cpu_check_run_attack,code6cac.c,317,cpu_check_run_attack,322,5,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_check_same_dir_timer,code6cac_b.c,63,cpu_check_same_dir_timer,63,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_check_tubazeri,code6cac_b.c,76,cpu_check_tubazeri,76,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_check_tubazeri_2,code6cac_b.c,76,cpu_check_tubazeri,76,0,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,34,0.00,0.00,0.00
cpu_get_dist,code6cac_b.c,68,cpu_get_dist,68,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_get_dist_2,code6cac.c,68,cpu_get_dist,68,0,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,17,0.00,0.00,0.00
cpu_get_move_pattern_table_number,code6cac.c,268,cpu_get_move_pattern_table_number,265,-3,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.04,0.00,0.03
cpu_set_move_command_and_dir,code6cac_b.c,57,cpu_set_move_command_and_dir,57,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_set_move_command_and_dir_for_no_action,code6cac_b.c,189,cpu_set_move_command_and_dir_for_no_action,189,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_set_move_command_and_dir_for_no_action_2,ings.c,189,gnd_land_hit_char_tsuba,175,-14,hi_landhit,src/hide/hi_landhit.c,affinity-unique,1,0.00,0.00,0.00
cpu_side_move_dir,code6cac_b.c,160,cpu_side_move_dir,160,0,nm_cpu,src/numata/nm_cpu.c,name-unique,1,0.00,0.00,0.00
cpu_side_move_dir_2,code6cac_c2.c,160,cpu_side_move_dir,160,0,nm_cpu,src/numata/nm_cpu.c,size-only-ambiguous,7,0.00,0.00,0.00
cpu_side_move_dir_3,main.c,160,SetPacketData,159,-1,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,12,0.00,0.00,0.00
cpu_side_move_dir_4,system.c,160,SetPacketData,159,-1,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,4,0.00,0.00,0.00
damage_DebugDisp,code6cac_c_mid.c,79,damage_DebugDisp,79,0,is_damage_calc,src/ishito/is_damage_calc.c,name-unique,1,0.00,0.00,0.00
debug_printf,display.c,15,Vu0ApplyMatrixNormalN,15,0,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,26,0.00,0.00,0.00
decBs0,text1a.c,136,decBs0,136,0,su_movie_decode,src/suzuki/su_movie_decode.c,name-unique,1,0.00,0.00,0.00
efc_rob_set_type_flash,sound.c,204,efc_rob_set_type_flash,204,0,is_efc_rob,src/ishito/is_efc_rob.c,name-unique,1,0.00,0.00,0.00
exec_game,main.c,194,exec_game,194,0,md_game,src/common/md_game.c,name-unique,1,0.00,0.00,0.00
func_800164AC,ings.c,19,gnd_land_hit_char,19,0,hi_landhit,src/hide/hi_landhit.c,size-only-ambiguous,6,0.00,0.00,0.00
func_800164F8,ings.c,7,gnd_get_rgb,7,0,hi_gnd,src/hide/hi_gnd.c,size-only-ambiguous,2,0.00,0.00,0.00
func_80016514,,57,motutil_GetAngTableNum,52,-5,is_motutil,src/ishito/is_motutil.c,size-only-ambiguous,97,0.20,0.00,0.12
func_800165F8,,51,motutil_GetAngTableNum,52,1,is_motutil,src/ishito/is_motutil.c,size-only-ambiguous,119,0.20,0.00,0.12
func_800166C4,,41,SetTexReg,41,0,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,122,0.00,0.00,0.00
func_80016768,,17,md_amami_exec,17,0,am_test,src/amami/am_test.c,size-only-ambiguous,65,0.00,0.00,0.00
func_800167AC,,4,md_option_Init,4,0,md_option,src/common/md_option.c,size-only-ambiguous,26,0.00,0.00,0.00
func_800167BC,,6,md_ueda_exec,6,0,md_dummy,src/common/md_dummy.c,size-only-ambiguous,34,0.00,0.00,0.00
func_800167D4,,6,md_ueda_exec,6,0,md_dummy,src/common/md_dummy.c,size-only-ambiguous,34,0.00,0.00,0.00
func_800167EC,ings.c,31,gnd_open,31,0,hi_gnd,src/hide/hi_gnd.c,size-only-ambiguous,6,0.00,0.00,0.00
func_80016868,,8,FadeIn,8,0,fade,src/common/fade.c,size-only-ambiguous,13,0.00,0.00,0.00
func_80016888,,18,md_game_sub_game_exec,18,0,md_game,src/common/md_game.c,size-only-ambiguous,63,0.00,0.00,0.00
func_800168D0,,8,FadeIn,8,0,fade,src/common/fade.c,size-only-ambiguous,13,0.00,0.00,0.00
func_800168F0,,2,debug_print,2,0,main,src/common/main.c,size-only-ambiguous,82,0.00,0.00,0.00
func_800168F8,,8,FadeIn,8,0,fade,src/common/fade.c,size-only-ambiguous,13,0.00,0.00,0.00
func_80016918,,64,InitPartsRmd,67,3,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,91,0.08,0.00,0.05
func_80016A18,,29,SetHiraVertexShadow,29,0,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,79,0.00,0.00,0.00
func_80016A8C,ings.c,108,gnd_land_hit_char_poly2,110,2,hi_landhit,src/hide/hi_landhit.c,size-only-ambiguous,4,0.00,0.00,0.00
func_80016C3C,,14,GetAllocVertColSize,14,0,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,83,0.00,0.00,0.00
func_80016C74,,3,CheckFadeEnd,3,0,fade,src/common/fade.c,size-only-ambiguous,47,0.00,0.00,0.00
func_80016C80,,30,ResetVertexColor,30,0,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,115,0.00,0.00,0.00
func_80016CF8,,32,saSeLoad,32,0,sa_se,src/sato/sa_se.c,size-only-ambiguous,116,0.17,0.00,0.10
func_80016D78,,50,kgm_map_gnd_planeset,50,0,hi_kgm,src/hide/hi_kgm.c,size-only-ambiguous,114,0.00,0.00,0.00
func_80016E40,,8,FadeIn,8,0,fade,src/common/fade.c,size-only-ambiguous,13,0.00,0.00,0.00
func_80016E60,ings.c,211,AllocRobRmd,220,9,am_rmd,src/amami/am_rmd.c,size-only-ambiguous,47,0.03,0.00,0.02
func_800171AC,,3,CheckFadeEnd,3,0,fade,src/common/fade.c,size-only-ambiguous,47,0.00,0.00,0.00
func_800171B8,,18,md_game_sub_game_exec,18,0,md_game,src/common/md_game.c,size-only-ambiguous,63,0.00,0.00,0.00
func_80017714,,9,main_EnablePlayer2Pad,9,0,main,src/common/main.c,size-only-ambiguous,31,0.00,0.00,0.00
func_80017738,,4,md_option_Init,4,0,md_option,src/common/md_option.c,size-only-ambiguous,26,0.00,0.00,0.00
func_80017748,,32,gnd_disp,32,0,hi_gnd,src/hide/hi_gnd.c,size-only-ambiguous,116,0.00,0.00,0.00
