block_file,symbol,address,type,size_bytes,owner_func,owner_file,owner_status,queue_status
101C.rodata_pre.s,jtbl_8001086C,0x8001086C,jtbl,48,func_80034708,code6cac_b,stub,authorize
101C.rodata_pre.s,jtbl_8001089C,0x8001089C,jtbl,48,func_80034708,code6cac_b,stub,authorize
101C.rodata_pre.s,jtbl_800108CC,0x800108CC,jtbl,32,replay_camera_rob_back_loose2,code6cac_b2,parked,parked
101C.rodata_pre.s,jtbl_800108EC,0x800108EC,jtbl,56,func_80035828,code6cac_b2,stub,active
101C.rodata_pre.s,jtbl_80010924,0x80010924,jtbl,20,func_80035828,code6cac_b2,stub,active
101C.rodata_pre.s,jtbl_80010938,0x80010938,jtbl,64,special_camera_set_win_cam,code6cac_b2,stub,authorize
101C.rodata_pre.s,jtbl_80010978,0x80010978,jtbl,56,special_camera_Exec,code6cac_b2,stub,active
101C.rodata_pre.s,D_800109B0,0x800109B0,string,11,func_80037A20,code6cac_c,active,active
101C.rodata_pre.s,D_800109BC,0x800109BC,string,12,func_80037B90,code6cac_c,completed,-
101C.rodata_pre.s,D_800109BC,0x800109BC,string,12,func_80037C34,code6cac_c,completed,-
101C.rodata_pre.s,D_800109C8,0x800109C8,string,11,motion_LoadPreCalcData_80037F08,code6cac_c_mid,completed,-
101C.rodata_text1a_b_pre.s,D_800153F0,0x800153F0,data,44,func_80049F4C,text1b,completed,-
101C.rodata_text1a_b_pre.s,jtbl_8001541C,0x8001541C,jtbl,64,func_8004A4E0,?,completed,-
101C.rodata_text1a_b_pre.s,jtbl_8001545C,0x8001545C,jtbl,20,func_8004A4E0,?,completed,-
101C.rodata_text1a_b_pre.s,D_80015470,0x80015470,data,16,func_8004C404,?,completed,-
101C.rodata_text1a_b_pre.s,D_80015480,0x80015480,data,32,func_8004DA74,?,completed,-
101C.rodata_text1a_b_pre.s,D_800154A0,0x800154A0,data,384,func_800525D8,?,completed,-
101C.rodata_text1a_b_pre.s,D_80015620,0x80015620,data,512,func_800526A0,?,completed,-
101C.rodata_text1a_b_pre.s,D_80015820,0x80015820,data,32,gnd_load_tex,text1a,completed,-
101C.rodata_text1a_b_pre.s,D_80015840,0x80015840,string,25,func_80054604,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_8001585C,0x8001585C,jtbl,40,func_80058580,text1b,stub,authorize
101C.rodata_text1a_b_pre.s,jtbl_80015884,0x80015884,jtbl,24,func_80058580,text1b,stub,authorize
101C.rodata_text1a_b_pre.s,jtbl_8001589C,0x8001589C,jtbl,24,func_80058580,text1b,stub,authorize
101C.rodata_text1a_b_pre.s,D_800158B4,0x800158B4,string,23,func_8005B7C4,text1b,completed,-
101C.rodata_text1a_b_pre.s,D_800158CC,0x800158CC,string,19,tslGlobalMemFree_8005C2A8,text1b,stub,active
101C.rodata_text1a_b_pre.s,D_800158E0,0x800158E0,string,21,func_80061064,text1b,parked,parked
101C.rodata_text1a_b_pre.s,jtbl_800158F8,0x800158F8,jtbl,72,motion_SetExMotion,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_80015940,0x80015940,jtbl,72,motion_SetExMotion,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_80015988,0x80015988,jtbl,24,func_8006B578,text1b,stub,active
101C.rodata_text1a_b_pre.s,D_800159A0,0x800159A0,string,10,func_8007352C,text1b,active,active
101C.rodata_text1a_b_pre.s,jtbl_800159B0,0x800159B0,jtbl,32,func_8006E534,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_800159D0,0x800159D0,jtbl,60,func_8006ECF4,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_80015A0C,0x80015A0C,jtbl,24,func_800747D8,text1b,stub,active
101C.rodata_text1a_b_pre.s,jtbl_80015A24,0x80015A24,jtbl,24,func_80077374,text1b,stub,active
101C.rodata_text1a_b_post.s,jtbl_80015A54,0x80015A54,jtbl,20,func_80077D94,text1b_b,stub,active
101C.rodata_text1a_b_post.s,D_80015A68,0x80015A68,string,17,func_80079244,text1b_b,stub,active
101C.rodata_text1a_b_post.s,D_80015A7C,0x80015A7C,string,7,func_80079244,text1b_b,stub,active
101C.rodata_text1a_b_post.s,D_80015A84,0x80015A84,string,17,func_80079244,text1b_b,stub,active
101C.rodata_text1a_b_post.s,jtbl_80015A98,0x80015A98,jtbl,484,func_80079244,text1b_b,stub,active
101C.rodata_text1a_b_post.s,D_80015C7C,0x80015C7C,string,17,func_80079A30,text1b_b,stub,authorize
101C.rodata_text1a_b_post.s,D_80015C90,0x80015C90,string,17,func_80079A30,text1b_b,stub,authorize
101C.rodata_text1a_b_post.s,jtbl_80015CA4,0x80015CA4,jtbl,180,func_80079A30,text1b_b,stub,authorize
101C.rodata_text1a_b_post.s,D_80015D58,0x80015D58,string,22,func_8007A7DC,?,completed,-
101C.rodata_text1a_b_post.s,D_80015D58,0x80015D58,string,22,func_8007ACBC,?,completed,-
101C.rodata_text1a_b_post.s,D_80015D58,0x80015D58,string,22,gpu_DebugDispEnv,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015D58,0x80015D58,string,22,gpu_DebugTPage,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015D70,0x80015D70,string,15,func_8007A83C,?,completed,-
101C.rodata_text1a_b_post.s,D_80015D70,0x80015D70,string,15,gpu_DebugClut,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015D80,0x80015D80,string,24,func_8007ACBC,?,completed,-
101C.rodata_text1a_b_post.s,D_80015D80,0x80015D80,string,24,gpu_DebugDispEnv,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015D98,0x80015D98,string,16,func_8007ACBC,?,completed,-
101C.rodata_text1a_b_post.s,D_80015D98,0x80015D98,string,16,gpu_DebugDispEnv,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015DA8,0x80015DA8,string,22,func_8007ACBC,?,completed,-
101C.rodata_text1a_b_post.s,D_80015DA8,0x80015DA8,string,22,gpu_DebugDispEnv,gpu,completed,-
101C.rodata_text1a_b_post.s,D_80015DC0,0x80015DC0,string,10,func_8007ACBC,?,completed,-
