func,src,kind,result,score,stage,reason,elapsed,attempts,recommendation,size_insns,blocker_tags
func_8007DF10,src/display.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xA0,3,
func_8007E094,src/display.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:cop0_op,32,gte_ops
func_8007E11C,src/display.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:handwritten_overflow_op,33,"gte_ops,multi_jr_ra"
func_8007E43C,src/display.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:handwritten_overflow_op,37,"gte_ops,multi_jr_ra"
func_8007FEDC,src/display.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:cop0_op,39,
func_8007EFFC,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,4,gte_ops
func_8007F00C,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,10,gte_ops
func_8007F034,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,10,gte_ops
func_8007F05C,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,15,gte_ops
func_8007F098,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,10,gte_ops
func_8007FF7C,src/display.c,inline_asm,CLASSIFY,,,,,,standard,38,
func_80080014,src/display.c,inline_asm,CLASSIFY,,,,,,standard,10,
func_8008003C,src/display.c,inline_asm,CLASSIFY,,,,,,standard,10,
func_80080064,src/display.c,inline_asm,CLASSIFY,,,,,,standard,10,
func_8007F0BC,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,10,gte_ops
func_8007F0E4,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,10,gte_ops
func_8007F10C,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,8,gte_ops
func_8007F12C,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,9,gte_ops
func_8007F150,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,22,gte_ops
func_8007F1A8,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,22,gte_ops
func_8007F200,src/display.c,inline_asm,CLASSIFY,,,,,,gte_function,6,gte_ops
func_8007E5EC,src/display.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:handwritten_overflow_op,88,gte_ops
func_8007E1AC,src/display.c,inline_asm,CLASSIFY,,,,,,needs_function_split,163,"gte_ops,multi_jr_ra"
func_8007A2F8,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xA0,4,
func_8007A308,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xA0,4,
func_8007A350,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_8007A360,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_8007A428,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_8007A438,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_8007A448,src/gpu.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_8007A458,src/gpu.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:bios_jumptable_call,26,
func_800164F8,src/ings.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:break_instruction,7,
func_800164AC,src/ings.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:data_as_code,19,
func_80082AB0,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xC0,4,
func_800831F0,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_80083200,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_80083210,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xB0,4,
func_800836B8,src/ings2.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:break_instruction,4,
func_8008386C,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xA0,4,
func_800831D8,src/ings2.c,inline_asm,CLASSIFY,,,,,,bios_or_syscall:bios_table_0xA0,6,
func_80083698,src/ings2.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:break_instruction,8,
func_80083220,src/ings2.c,inline_asm,CLASSIFY,,,,,,permanently_blocked:sp_manipulation,32,multi_jr_ra
