func_name,src_file,asm_lines,m2c_parses,m2c_compiles,permuter_score,local_draft,tier
func_80017FA0,code6cac.c,67,Y,Y,575,Y,MEDIUM
func_80018094,code6cac.c,161,Y,Y,11320,Y,EXPERT
func_80018300,code6cac.c,339,Y,Y,,N,EXPERT
func_800187F4,code6cac.c,696,Y,Y,,N,EXPERT
func_80019310,code6cac.c,87,Y,Y,,Y,LARGE
func_80019568,code6cac.c,153,N,N,,Y,EXPERT
func_8001979C,code6cac.c,86,Y,Y,2790,Y,LARGE
func_800198D0,code6cac.c,832,Y,Y,31450,N,EXPERT
func_8001A67C,code6cac.c,115,Y,Y,3025,Y,LARGE
func_8001A820,code6cac.c,635,Y,Y,,N,EXPERT
func_8001B478,code6cac.c,147,Y,Y,4940,Y,LARGE
func_8001B748,code6cac.c,244,Y,Y,2070,N,EXPERT
func_8001BAE4,code6cac.c,67,Y,Y,1105,Y,MEDIUM
func_8001BCF0,code6cac.c,74,Y,Y,3005,Y,MEDIUM
func_8001BE20,code6cac.c,433,Y,Y,8525,N,EXPERT
func_8001C624,code6cac.c,129,Y,Y,9485,Y,LARGE
func_8001C8DC,code6cac.c,320,N,N,,N,EXPERT
func_8001CE60,code6cac.c,635,Y,Y,14965,N,EXPERT
func_8001D790,code6cac.c,98,Y,Y,5760,Y,LARGE
func_8001DA8C,code6cac.c,59,N,N,,Y,MEDIUM
func_8001DCB0,code6cac.c,503,Y,Y,14670,N,EXPERT
func_8001E404,code6cac.c,200,Y,Y,5245,Y,EXPERT
func_8001E6E4,code6cac.c,74,Y,Y,3380,Y,MEDIUM
func_8001EA84,code6cac.c,286,Y,Y,3275,N,EXPERT
func_8001EEB4,code6cac.c,62,Y,Y,230,Y,MEDIUM
func_8001EFA0,code6cac.c,147,Y,Y,3215,Y,LARGE
func_8001F2E4,code6cac.c,387,Y,Y,7700,N,EXPERT
func_8001F938,code6cac.c,119,Y,Y,4715,Y,LARGE
func_8001FBE8,code6cac.c,302,Y,Y,6260,N,EXPERT
func_800200DC,code6cac.c,204,Y,Y,1200,N,EXPERT
func_800203B4,code6cac.c,69,Y,Y,,Y,MEDIUM
func_800204C0,code6cac.c,133,Y,Y,,Y,LARGE
func_800207C8,code6cac.c,337,Y,Y,,N,EXPERT
func_80020E74,code6cac.c,251,Y,Y,5475,N,EXPERT
func_80021280,code6cac.c,82,Y,Y,3795,Y,LARGE
func_80021424,code6cac.c,328,N,N,,N,EXPERT
func_80021A98,code6cac.c,176,Y,Y,1725,Y,EXPERT
func_80021DB0,code6cac.c,301,Y,Y,15445,N,EXPERT
func_80022224,code6cac.c,130,Y,Y,5860,Y,LARGE
func_80022580,code6cac.c,668,Y,Y,31070,N,EXPERT
func_80022F34,code6cac.c,79,Y,Y,4325,Y,MEDIUM
func_8002304C,code6cac.c,230,Y,Y,13895,N,EXPERT
func_800233AC,code6cac.c,177,Y,Y,9100,Y,EXPERT
func_80023648,code6cac.c,176,Y,Y,3805,Y,EXPERT
func_800238C4,code6cac.c,245,Y,Y,11715,N,EXPERT
func_80023F08,code6cac.c,3211,Y,Y,99900,N,EXPERT
func_80026DA4,code6cac_b.c,378,N,N,,N,EXPERT
func_8002738C,code6cac_b.c,52,N,N,,Y,MEDIUM
func_80027438,code6cac_b.c,40,N,N,,Y,MEDIUM
func_800274BC,code6cac_b.c,107,Y,Y,3150,Y,LARGE
func_80027640,code6cac_b.c,168,Y,Y,8105,Y,EXPERT
func_800278C0,code6cac_b.c,61,Y,Y,2850,Y,MEDIUM
func_80027AD8,code6cac_b.c,629,N,N,,N,EXPERT
func_800283D0,code6cac_b.c,237,Y,Y,4275,N,EXPERT
func_8002872C,code6cac_b.c,108,Y,Y,870,Y,LARGE
func_800288C8,code6cac_b.c,525,Y,Y,11140,N,EXPERT
func_800290B8,code6cac_b.c,253,Y,Y,8605,N,EXPERT
func_80029454,code6cac_b.c,1118,Y,Y,77570,N,EXPERT
func_8002A458,code6cac_b.c,453,Y,Y,16365,N,EXPERT
func_8002AB08,code6cac_b.c,1202,Y,Y,58130,N,EXPERT
func_8002BC68,code6cac_b.c,156,Y,Y,5070,Y,EXPERT
func_8002BEA0,code6cac_b.c,157,Y,Y,11975,Y,EXPERT
func_8002C0DC,code6cac_b.c,89,Y,Y,530,Y,LARGE
func_8002C22C,code6cac_b.c,258,Y,Y,21295,N,EXPERT
func_8002C61C,code6cac_b.c,301,Y,Y,12260,N,EXPERT
func_8002CA8C,code6cac_b.c,190,Y,Y,4785,Y,EXPERT
func_8002CD58,code6cac_b.c,383,Y,Y,,N,EXPERT
func_8002D320,code6cac_b.c,137,Y,Y,,Y,LARGE
func_8002D518,code6cac_b.c,170,Y,Y,5695,Y,EXPERT
func_8002D780,code6cac_b.c,220,Y,Y,,N,EXPERT
func_8002DAD0,code6cac_b.c,219,Y,Y,,N,EXPERT
func_8002DE20,code6cac_b.c,577,Y,Y,,N,EXPERT
func_8002E6B0,code6cac_b.c,101,Y,Y,1610,Y,LARGE
func_8002E838,code6cac_b.c,128,Y,Y,,Y,LARGE
func_8002EA24,code6cac_b.c,118,Y,Y,,Y,LARGE
func_8002EBDC,code6cac_b.c,196,Y,Y,,Y,EXPERT
func_8002F2D0,code6cac_b.c,313,Y,Y,,N,EXPERT
func_8002F770,code6cac_b.c,341,Y,Y,,N,EXPERT
func_8002FC80,code6cac_b.c,79,Y,Y,,Y,MEDIUM
func_8002FDB0,code6cac_b.c,94,Y,Y,,Y,LARGE
func_8002FF20,code6cac_b.c,103,Y,Y,,Y,LARGE
func_800300B4,code6cac_b.c,87,Y,Y,,Y,LARGE
func_80030208,code6cac_b.c,82,Y,Y,3080,Y,LARGE
func_8003032C,code6cac_b.c,71,Y,Y,580,Y,MEDIUM
func_80030580,code6cac_b.c,158,Y,Y,9910,Y,EXPERT
func_800307D0,code6cac_b.c,86,Y,Y,1375,Y,LARGE
func_80030900,code6cac_b.c,81,Y,Y,1355,Y,LARGE
func_80030A2C,code6cac_b.c,61,Y,Y,970,Y,MEDIUM
func_80030B10,code6cac_b.c,46,Y,Y,1575,Y,MEDIUM
func_80030BA8,code6cac_b.c,96,Y,Y,2635,Y,LARGE
func_80030D7C,code6cac_b.c,763,Y,Y,26150,N,EXPERT
func_80031890,code6cac_b.c,178,Y,Y,,Y,EXPERT
func_80031B24,code6cac_b.c,343,Y,Y,7385,N,EXPERT
func_80032064,code6cac_b.c,105,Y,Y,4470,Y,LARGE
func_800321E8,code6cac_b.c,81,Y,Y,5365,Y,LARGE
func_80032314,code6cac_b.c,118,Y,Y,6605,Y,LARGE
func_800324D0,code6cac_b.c,87,N,N,,Y,LARGE
func_800325E0,code6cac_b.c,170,Y,Y,3570,Y,EXPERT
func_80032854,code6cac_b.c,304,N,N,,N,EXPERT
func_80032C50,code6cac_b.c,553,N,N,,N,EXPERT
func_8003339C,code6cac_b.c,72,Y,Y,1180,Y,MEDIUM
func_80033498,code6cac_b.c,40,N,N,,Y,MEDIUM
func_800335D8,code6cac_b.c,193,Y,Y,9560,Y,EXPERT
func_800338CC,code6cac_b.c,211,Y,Y,9770,N,EXPERT
func_80033BC0,code6cac_b.c,104,Y,Y,2715,Y,LARGE
func_80033D38,code6cac_b.c,54,Y,Y,2670,Y,MEDIUM
func_80033DF4,code6cac_b.c,132,Y,Y,5385,Y,LARGE
func_800340A0,code6cac_b.c,98,Y,Y,4240,Y,LARGE
func_80034200,code6cac_b.c,47,Y,Y,2070,Y,MEDIUM
func_800344B4,code6cac_b.c,164,N,N,,Y,EXPERT
func_80034708,code6cac_b.c,599,N,N,,N,EXPERT
func_80034F88,code6cac_b.c,55,Y,Y,2565,Y,MEDIUM
func_8003504C,code6cac_b.c,151,Y,Y,6250,Y,EXPERT
func_80035280,code6cac_b.c,112,Y,Y,2230,Y,LARGE
func_8003553C,code6cac_b2.c,45,Y,Y,1070,Y,MEDIUM
func_80035618,code6cac_b2.c,149,N,N,,Y,LARGE
func_80035828,code6cac_b2.c,395,N,N,,N,EXPERT
func_80036140,code6cac_b2.c,555,N,N,,N,EXPERT
func_80036940,code6cac_b2.c,301,N,N,,N,EXPERT
func_80036D98,code6cac_b2.c,43,Y,Y,2235,Y,MEDIUM
func_80036FD4,code6cac_b2.c,85,Y,Y,1770,Y,LARGE
func_80037348,code6cac_b2.c,76,Y,Y,2705,Y,MEDIUM
func_80037A20,code6cac_c.c,37,Y,Y,3200,Y,MEDIUM
func_80037D14,code6cac_c.c,145,N,N,,Y,LARGE
func_80037F40,code6cac_c.c,57,Y,Y,3015,Y,MEDIUM
func_8003800C,code6cac_c.c,89,Y,Y,3000,Y,LARGE
func_80038170,code6cac_c.c,156,Y,Y,3705,Y,EXPERT
func_800383A4,code6cac_c.c,193,Y,Y,3485,Y,EXPERT
func_8003880C,code6cac_c.c,46,N,N,,Y,MEDIUM
func_80038988,code6cac_c.c,216,N,N,,N,EXPERT
func_80038C70,code6cac_c.c,458,N,N,,N,EXPERT
func_800393C8,code6cac_c.c,132,Y,Y,2115,Y,LARGE
func_800395B4,code6cac_c.c,56,Y,Y,450,Y,MEDIUM
func_8003993C,code6cac_c.c,564,Y,Y,15895,N,EXPERT
func_8003A450,code6cac_c.c,81,Y,Y,805,Y,LARGE
func_8003A5A0,code6cac_c.c,96,Y,Y,445,Y,LARGE
func_8003A728,code6cac_c.c,216,Y,Y,4205,N,EXPERT
func_8003AB44,code6cac_c.c,108,N,N,,Y,LARGE
func_8003AE5C,code6cac_c.c,69,N,N,,Y,MEDIUM
func_8003AFFC,code6cac_c.c,72,Y,Y,3560,Y,MEDIUM
func_8003B10C,code6cac_c.c,68,Y,Y,2375,Y,MEDIUM
func_8003B5A4,code6cac_c.c,195,N,N,,Y,EXPERT
func_8003B9D0,code6cac_c2.c,200,Y,Y,2820,Y,EXPERT
func_8003BCB4,code6cac_c2.c,97,N,N,,Y,LARGE
func_8003C040,code6cac_c2.c,176,Y,Y,5345,Y,EXPERT
func_8003C560,code6cac_c2.c,121,Y,Y,1895,Y,LARGE
func_8003C714,code6cac_c2.c,107,Y,Y,1975,Y,LARGE
func_8003C9A4,code6cac_c2.c,218,Y,Y,4205,N,EXPERT
func_8003CF84,code6cac_c2.c,223,Y,Y,2925,N,EXPERT
func_8003D330,code6cac_c2.c,29,Y,Y,520,Y,MEDIUM
func_8003D39C,code6cac_c2.c,58,Y,Y,1750,Y,MEDIUM
func_8003D52C,code6cac_c2.c,160,Y,Y,7865,Y,EXPERT
func_8003D888,code6cac_c2.c,41,Y,Y,1960,Y,MEDIUM
func_8003D9A0,code6cac_c2.c,64,Y,Y,2455,Y,MEDIUM
func_8003DA8C,code6cac_c2.c,95,Y,Y,2195,Y,LARGE
func_8003DBE4,code6cac_c2.c,150,Y,Y,1770,Y,LARGE
func_8003DE14,code6cac_c2.c,193,Y,Y,9420,Y,EXPERT
func_8003E2D8,code6cac_c2.c,267,Y,Y,4175,N,EXPERT
func_8003E6D8,code6cac_c2.c,322,Y,Y,,N,EXPERT
func_8003EB84,code6cac_c2.c,164,Y,Y,6490,Y,EXPERT
func_8003EDC0,code6cac_c2.c,255,Y,Y,9805,N,EXPERT
func_8003F274,config.c,76,Y,Y,4065,Y,MEDIUM
func_8003F6D8,config.c,77,Y,Y,1840,Y,MEDIUM
func_8003F824,config.c,140,Y,Y,12700,Y,LARGE
func_8003FA24,config.c,285,Y,Y,14010,N,EXPERT
func_800167EC,ings.c,34,Y,Y,610,Y,MEDIUM
func_80016A8C,ings.c,114,Y,Y,4735,Y,LARGE
func_80016E60,ings.c,229,Y,Y,3650,N,EXPERT
func_80017200,ings.c,203,Y,Y,2260,N,EXPERT
func_800174F4,ings.c,149,Y,Y,3775,Y,LARGE
func_80017848,ings.c,136,Y,Y,2170,Y,LARGE
func_80017A44,ings.c,230,Y,Y,9705,N,EXPERT
func_80017D84,ings.c,72,Y,Y,2155,Y,MEDIUM
func_800828CC,ings2.c,91,Y,Y,1540,Y,LARGE
func_80082A14,ings2.c,44,Y,Y,1420,Y,MEDIUM
func_80082C3C,ings2.c,66,Y,Y,5510,Y,MEDIUM
func_80082D34,ings2.c,323,Y,Y,28905,N,EXPERT
func_800832A0,ings2.c,70,Y,Y,,Y,MEDIUM
func_800833C8,ings2.c,173,Y,Y,,Y,EXPERT
func_800836C8,ings2.c,55,Y,Y,5170,Y,MEDIUM
